strategy,symbol,timeframe,n_trades,win_rate,total_return,cagr,sharpe,sortino,max_dd,profit_factor,avg_win,avg_loss,final_capital
Bollinger,GBPJPY,H4,35,54.29,-1.85,-3.68,-0.1647,-0.2444,-8.58,0.95,0.381,0.4731,9815.03
Swing_SR,LTCUSD,D1,2,50.0,-0.41,-0.82,-0.1688,0.0,-2.02,0.8,5.1155,10.3187,9959.05
Parabolic_SAR,BTCUSD,H4,94,43.62,-6.78,-13.07,-0.1987,-0.2423,-20.38,0.92,2.2014,1.9822,9322.22
Parabolic_SAR,NZDUSD,H4,68,38.24,-3.64,-7.18,-0.2141,-0.3026,-13.55,0.94,0.6716,0.4423,9635.52
Parabolic_SAR,EURJPY,H4,73,45.21,-4.04,-7.94,-0.2219,-0.3082,-21.78,0.94,0.358,0.3148,9596.11
Parabolic_SAR,USDCHF,D1,13,30.77,-1.3,-2.6,-0.2308,-0.2154,-6.54,0.88,1.3519,0.6661,9869.81
RSI,CADJPY,H4,22,45.45,-2.43,-4.81,-0.2439,-0.2254,-9.85,0.9,0.4966,0.4561,9757.15
Swing_SR,CADJPY,H4,11,54.55,-1.26,-2.52,-0.254,-3.3401,-4.23,0.86,0.6036,0.5103,9873.86
Parabolic_SAR,EURUSD,H4,66,39.39,-7.49,-14.47,-0.2558,-0.3679,-26.34,0.89,0.4248,0.2755,9250.71
Parabolic_SAR,NZDJPY,H4,65,44.62,-4.32,-8.48,-0.263,-0.3415,-21.15,0.93,0.5526,0.4805,9568.19
EMA_Cross,USDCHF,D1,8,37.5,-1.37,-2.73,-0.2753,-0.4291,-5.45,0.85,1.4481,0.8877,9863.26
RSI,BTCUSD,D1,6,50.0,0.2,0.4,-0.2987,-11.8407,-4.02,1.03,4.5355,7.4722,10020.18
Stochastic,BTCUSD,H4,82,48.78,-6.99,-13.47,-0.315,-0.6408,-16.42,0.92,2.4117,2.257,9300.51
RSI,EURAUD,D1,5,40.0,-1.32,-2.63,-0.335,-39.8661,-6.02,0.78,1.3489,1.2326,9868.14
